,state,year,District,Murder
389,MIZORAM,2010,AIZAWL,23
390,SIKKIM,2010,SOUTH,7
391,TRIPURA,2010,WEST,83
392,UTTAR PRADESH,2010,GHAZIABAD,216
393,WEST BENGAL,2010,PASCHIM MIDNAPUR,268
394,A & N ISLANDS,2010,ANDAMAN,8
395,CHANDIGARH,2010,TOTAL,21
396,CHANDIGARH,2010,CHANDIGARH,21
397,DELHI UT,2010,DELHI UT TOTAL,565
398,ASSAM,2011,TINSUKIA,98
399,BIHAR,2011,PATNA,248
400,JAMMU & KASHMIR,2011,JAMMU,18
401,JHARKHAND,2011,GUMLA,201
402,KERALA,2011,PALAKKAD,41
403,MAHARASHTRA,2011,MUMBAI COMMR.,203
404,MANIPUR,2011,IMPHAL WEST,24
405,PUNJAB,2011,CP LUDHIANA,76
406,A & N ISLANDS,2011,TOTAL,14
407,A & N ISLANDS,2011,ANDAMAN,14
408,LAKSHADWEEP,2011,TOTAL,0
409,LAKSHADWEEP,2011,LAKSHADWEEP,0
410,GUJARAT,2012,SURAT COMMR.,98
411,HARYANA,2012,SONIPAT,86
412,JAMMU & KASHMIR,2012,SRINAGAR,13
413,JAMMU & KASHMIR,2012,JAMMU,13
414,JHARKHAND,2012,GUMLA,192
415,KERALA,2012,TRIVANDRUM RURAL,42
416,MAHARASHTRA,2012,MUMBAI COMMR.,215
417,A & N ISLANDS,2012,SOUTH,8
418,ASSAM,2005,DIBRUGARH,113
419,CHHATTISGARH,2005,BILASPUR,94
420,MAHARASHTRA,2005,MUMBAI,212
421,MANIPUR,2005,IMPHAL(WEST),49
422,MANIPUR,2005,CHURACHANDPUR,49
423,PUNJAB,2005,JALANDHAR,63
424,CHANDIGARH,2005,TOTAL,18
425,CHANDIGARH,2005,CHANDIGARH,18
426,DAMAN & DIU,2005,DAMAN,4
427,LAKSHADWEEP,2005,TOTAL,1
428,LAKSHADWEEP,2005,LAKSHADWEEP,1
429,CHHATTISGARH,2006,BIZAPUR,139
430,JHARKHAND,2006,RANCHI,253
431,KERALA,2006,THRISSUR,44
432,KERALA,2006,PALAKKAD,44
433,NAGALAND,2006,KOHIMA,31
434,PUNJAB,2006,JALANDHAR,80
435,SIKKIM,2006,EAST,10
436,UTTAR PRADESH,2006,MUZAFFARNAGAR,230
437,UTTARAKHAND,2006,UDHAMSINGH NAGAR,74
438,CHANDIGARH,2006,TOTAL,12
439,CHANDIGARH,2006,CHANDIGARH,12
440,ASSAM,2007,TINSUKIA,143
441,HARYANA,2007,GURGAON,93
442,A & N ISLANDS,2007,TOTAL,15
443,A & N ISLANDS,2007,A and N ISLANDS,15
444,DAMAN & DIU,2007,TOTAL,12
445,DAMAN & DIU,2007,DAMAN,12
446,GOA,2008,NORTH GOA,26
447,MADHYA PRADESH,2008,INDORE,125
448,MEGHALAYA,2008,JAINTIA HILLS,38
449,MIZORAM,2008,AIZAWL,12
450,WEST BENGAL,2008,24 PARGANAS SOUTH,239
451,D & N HAVELI,2008,TOTAL,9
452,D & N HAVELI,2008,D and N HAVELI,9
453,DAMAN & DIU,2008,TOTAL,2
454,DAMAN & DIU,2008,DAMAN,2
455,DELHI UT,2008,DELHI UT TOTAL,554
456,ANDHRA PRADESH,2009,CYBERABAD,186
457,BIHAR,2009,PATNA,314
458,GOA,2009,NORTH GOA,33
459,HARYANA,2009,GURGAON,84
460,HIMACHAL PRADESH,2009,KANGRA,29
461,KERALA,2009,PALAKKAD,36
462,MAHARASHTRA,2009,MUMBAI COMMR.,217
463,MEGHALAYA,2009,JAINTIA HILLS,40
464,RAJASTHAN,2009,ALWAR,103
465,ANDHRA PRADESH,2010,CYBERABAD,187
466,JAMMU & KASHMIR,2010,SOPORE,30
467,JHARKHAND,2010,RANCHI,183
468,MADHYA PRADESH,2010,INDORE,108
469,MEGHALAYA,2010,JAINTIA HILLS,48
470,NAGALAND,2010,DIMAPUR,20
471,RAJASTHAN,2010,BHARATPUR,83
472,LAKSHADWEEP,2010,TOTAL,0
473,LAKSHADWEEP,2010,LAKSHADWEEP,0
474,CHHATTISGARH,2011,BILASPUR,112
475,MEGHALAYA,2011,JAINTIA HILLS,52
